   0.00000000       0.00000000    
   70.7106781       65.8056717    
   141.421356       121.801353    
   212.132050       167.987030    
   282.842712       204.362701    
   353.553406       230.928375    
   424.264099       247.684052    
   494.974762       254.629715    
   565.685425       251.765396    
   636.396118       239.091064    
   707.106812       216.606735    
   777.817505       184.312408    
   848.528198       142.208069    
   919.238831       90.2937469    
   989.949524       28.5694160    
